source;target
15;18
2;7
18;2
22;2
8;9
8;10
9;10
17;2
17;18
2;18
15;2
10;3
10;18
10;1
18;1
18;2
14;10
15;10
15;5
5;10
11;2
2;18
3;15
3;18
3;23
15;18
15;23
18;23
15;4
15;22
15;18
4;22
4;18
22;18
10;20
10;2
20;2
19;18
5;10
5;18
5;3
10;18
10;3
18;3
10;5
15;10
15;18
15;6
10;18
10;6
18;6
10;16
10;8
16;8
2;7
15;20
15;18
20;18
18;14
18;16
14;16
21;11
15;24
3;4
16;1
16;15
16;5
1;15
1;5
15;5
11;22
19;18
19;15
18;15
7;15
7;6
15;6
23;7
10;7
10;18
7;18
18;9
18;15
18;17
9;15
9;17
15;17
2;18
2;15
18;15
18;14
15;11
18;19
18;15
15;3
18;15
3;15
18;2
18;5
2;5
18;23
18;14
23;14
9;2
9;18
2;18
18;3
3;23
3;21
21;23
10;4
15;19
15;20
2;7
10;5
23;4
23;6
4;6
15;18
10;5
10;15
10;14
5;15
5;14
15;14
7;20
19;2
19;18
19;20
2;18
2;20
18;20
18;14
2;19
2;18
19;18
2;15
18;19
16;10
16;14
10;14
7;18
7;3
18;3
6;4
5;10
3;18
15;23
18;11
15;2
2;3
2;15
3;15
10;20
10;15
10;5
20;15
20;5
15;5
23;4
7;2
7;18
2;18
10;5
9;2
5;10
15;18
10;1
2;7
18;9
18;15
9;15
18;15
7;18
7;5
18;5
7;2
7;18
2;18
18;7
18;7
2;18
18;2
15;18
15;2
15;19
18;2
18;19
2;19
18;2
22;5
18;2
18;23
3;7
10;5
10;14
5;14
21;6
21;23
21;24
6;23
6;23
23;24
20;23
7;2
4;3
4;22
4;18
3;22
3;18
22;18
5;10
3;15
3;20
3;6
15;20
15;6
20;6
15;10
15;2
19;18
6;5
6;14
5;14
10;5
15;2
15;20
17;18
11;13
9;18
4;2
5;22
5;14
22;14
20;2
20;18
2;18
15;6
15;21
15;18
15;2
21;18
21;2
18;2
15;18
5;10
15;7
3;15
3;18
15;18
18;24
3;15
2;10
11;18
11;6
11;17
18;6
18;17
6;17
18;9
5;10
18;5
18;2
18;12
1;12
5;10
5;3
10;3
18;19
18;2
19;2
18;2
15;18
10;5
10;9
10;18
10;12
5;9
5;18
5;12
9;18
9;12
18;12
15;18
15;10
18;10
18;2
15;2
15;7
2;7
15;20
10;14
11;15
11;18
15;18
15;6
15;19
15;18
6;19
6;18
18;19
15;17
15;3
17;3
7;18
14;16
14;18
16;18
4;3
4;2
3;2
20;7
20;19
7;19
